datetime,pre
2023-08-01 08:05:00,1474.8503
2023-08-01 08:10:00,1473.4829
2023-08-01 08:15:00,1468.6191
2023-08-01 08:20:00,1465.495
2023-08-01 08:25:00,1461.125
2023-08-01 08:30:00,1453.6332
2023-08-01 08:35:00,1446.1984
2023-08-01 08:40:00,1440.9557
2023-08-01 08:45:00,1436.489
2023-08-01 08:50:00,1431.1552
2023-08-01 08:55:00,1419.7372
2023-08-01 09:00:00,1412.4636
2023-08-01 09:05:00,1415.649
2023-08-01 09:10:00,1415.4683
2023-08-01 09:15:00,1411.5934
2023-08-01 09:20:00,1405.8573
2023-08-01 09:25:00,1400.8433
2023-08-01 09:30:00,1393.3004
2023-08-01 09:35:00,1389.9951
2023-08-01 09:40:00,1388.4166
2023-08-01 09:45:00,1386.7394
2023-08-01 09:50:00,1384.3635
2023-08-01 09:55:00,1381.3706
2023-08-01 10:00:00,1375.0165
2023-08-01 10:05:00,1368.4174
2023-08-01 10:10:00,1364.441
2023-08-01 10:15:00,1362.2585
2023-08-01 10:20:00,1359.9833
2023-08-01 10:25:00,1355.1454
2023-08-01 10:30:00,1352.0284
2023-08-01 10:35:00,1346.6376
2023-08-01 10:40:00,1339.0765
2023-08-01 10:45:00,1335.2902
2023-08-01 10:50:00,1331.9233
2023-08-01 10:55:00,1330.107
2023-08-01 11:00:00,1329.216
2023-08-01 11:05:00,1323.9637
2023-08-01 11:10:00,1320.3783
2023-08-01 11:15:00,1316.6749
2023-08-01 11:20:00,1306.15
2023-08-01 11:25:00,1301.8816
2023-08-01 11:30:00,1301.4147
2023-08-01 11:35:00,1298.901
2023-08-01 11:40:00,1292.4003
2023-08-01 11:45:00,1285.7075
2023-08-01 11:50:00,1271.7506
2023-08-01 11:55:00,1267.9122
2023-08-01 12:00:00,1264.556
2023-08-01 12:05:00,1263.1993
2023-08-01 12:10:00,1262.3617
2023-08-01 12:15:00,1261.4374
2023-08-01 12:20:00,1259.1278
2023-08-01 12:25:00,1255.6268
2023-08-01 12:30:00,1251.2021
2023-08-01 12:35:00,1247.8132
